zip,state_abbrev,county_code
02664,ma,001
02666,ma,001
02667,ma,001
02668,ma,001
02669,ma,001
02670,ma,001
02671,ma,001
02672,ma,001
02673,ma,001
02675,ma,001
02702,ma,023
02702,ma,005
02703,ma,005
02712,ma,005
02713,ma,007
02715,ma,005
02717,ma,005
02718,ma,005
02719,ma,005
02720,ma,005
02721,ma,005
02722,ma,005
02723,ma,005
02724,ma,005
02725,ma,005
02726,ma,005
02738,ma,023
02739,ma,023
02740,ma,005
02741,ma,005
02742,ma,005
02743,ma,005
02744,ma,005
02745,ma,005
02746,ma,005
02747,ma,005
02748,ma,005
02760,ma,005
02761,ma,005
02762,ma,021
02763,ma,005
02764,ma,005
02766,ma,005
02767,ma,023
02767,ma,005
02768,ma,005
02769,ma,005
02770,ma,023
02770,ma,005
02771,ma,005
02777,ma,005
02779,ma,023
02779,ma,005
02780,ma,005
02790,ma,005
02791,ma,005
02801,ri,005
02802,ri,007
02804,ri,009
02806,ri,001
02807,ri,009
02808,ri,009
02809,ri,001
02812,ri,009
02813,ri,009
02814,ri,007
02815,ri,007
02816,ri,003
02816,ri,007
02817,ri,003
02818,ri,003
02822,ri,003
02822,ri,009
02823,ri,007
02824,ri,007
02825,ri,007
02826,ri,007
02827,ri,003
02828,ri,007
02829,ri,007
02830,ri,007
02831,ri,007
02831,ri,003
02832,ri,009
02833,ri,009
02835,ri,005
02836,ri,009
02837,ri,005
02838,ri,007
02839,ri,007
02840,ri,005
02841,ri,005
02842,ri,005
02852,ri,009
02852,ri,003
02857,ri,007
02858,ri,007
02859,ri,007
02860,ri,007
02861,ri,007
02862,ri,007
02863,ri,007
02864,ri,007
02865,ri,007
02871,ri,005
02872,ri,005
02873,ri,009
02874,ri,009
02875,ri,009
02876,ri,007
02877,ri,009
02878,ri,005
02879,ri,009
02880,ri,009
02881,ri,009
02882,ri,009
02883,ri,009
02885,ri,001
02886,ri,003
02887,ri,003
02888,ri,003
02889,ri,003
02891,ri,009
02892,ri,009
02893,ri,003
02894,ri,009
02895,ri,007
02896,ri,007
02898,ri,009
02901,ri,007
02902,ri,007
02903,ri,007
02904,ri,007
